month,share_funds,n,share_tna,share_funds_official,n_official
2009-12-31,0.07971721111652852,8204,0.37624258819709094,,
2010-03-31,0.07785234899328859,5960,0.46562176872906696,,
2010-06-30,0.07263021675833063,6182,0.40832274814623354,,
2010-09-30,0.08730512249443208,2245,0.29621088351807,,
2010-12-31,0.09435846230654019,6009,0.399269127506379,,
2011-03-31,0.06955093099671412,9130,0.3359800983154788,,
2011-06-30,0.06407152169864035,10738,0.3167596419121073,,
2011-09-30,0.07085880037294105,9653,0.3201820695529184,,
2011-12-31,0.073100575282682,10082,0.34298660870083975,,
2012-03-31,0.09515017232890202,8124,0.3279576409202243,,
2012-06-30,0.08852386726931981,9071,0.3565644318909659,,
2012-09-30,0.09743220542356612,8334,0.36248271471223414,,
2012-12-31,0.07726421602444072,10147,0.375486031464569,,
2013-03-31,0.07582686376688291,9403,0.33628451608264787,,
2013-06-30,0.07664719745875602,9759,0.3273590277588609,,
2013-09-30,0.07244270542202348,8945,0.3293812877126116,,
2013-12-31,0.06219004165840111,10082,0.3369982799169764,,
2014-03-31,0.06992504363897731,9739,0.32964623058498727,,
2014-06-30,0.06591063293593098,10317,0.3244094808910166,,
2014-09-30,0.07095366715146478,9626,0.32511664758977465,,
2014-12-31,0.06757277809909389,10374,0.36000067624303167,,
2015-03-31,0.07242495257225756,8961,0.35316534460166205,,
2015-06-30,0.07719861660079051,8096,0.36086863458512136,,
2015-09-30,0.08008849557522124,9040,0.3771134764184948,,
2015-12-31,0.08868001634654679,9788,0.4336754710615303,,
2016-03-31,0.09178082191780822,8030,0.42876872719276465,,
2016-06-30,0.08104292168674698,10624,0.40356082000518645,,
2016-09-30,0.100747556066705,8695,0.42177144564666713,,
2016-12-31,0.09356270810210877,9010,0.47209419308240747,,
2017-03-31,0.09774352100089366,8952,0.47721606897103075,,
2017-06-30,0.10048848569434753,8598,0.4960640425219263,,
2017-09-30,0.10599758486515497,7453,0.509934332847681,,
2017-12-31,0.09201224603395491,17965,0.5066132985850306,,
2018-03-31,0.09445043749250868,16686,0.5145745696414115,,
2018-06-30,0.09259161334672941,18911,0.5073710038530139,,
2018-09-30,0.10081460511872437,17309,0.5198508531922413,,
2018-12-31,0.09569017480409886,19908,0.5523646402577904,,
2019-03-31,0.10099372384937239,19120,0.5485367369477525,,
2019-06-30,0.09603570742944903,20836,0.5152220332906027,,
2019-09-30,0.10282236911132095,19062,0.5349435574863853,,
2019-12-31,0.10233890663159873,21292,0.5530710442638164,,
2020-03-31,0.17470760233918128,6840,0.6108329906193549,,
2020-06-30,0.1849814126394052,6725,0.6191122918299988,,
2020-09-30,0.18081506547006032,6797,0.6228743345302926,,
2020-12-31,0.17253573007219686,6787,0.5909224315529231,,
2021-03-31,0.1707389308455501,6753,0.5906999207524272,,
2021-06-30,0.16939420040195233,6966,0.5926931596136725,,
2021-09-30,0.17279359176083536,6991,0.6023654008577418,,
2021-12-31,0.17387604595092895,7051,0.6203119257910735,,
2022-03-31,0.17477351916376307,7175,0.6188319137424195,,
2022-06-30,0.1688650728222039,7278,0.6266497265476355,,
2022-09-30,0.16906228610540724,7305,0.6313300672958604,,
2022-12-31,0.16205805475306095,7269,0.6137451742417859,,
2023-03-31,0.16766550522648083,7175,0.6341650786190557,,
2023-06-30,0.18713048260690224,7273,0.6655804182444839,,
2023-09-30,0.19053101165635344,6949,0.6686683541763316,,
